displacement,km,link,name,price,typ
1.5L,5.33万公里,https://www.guazi.com/km/9ca48e8ea707b850x.htm#fr_page=list&fr_pos=city&fr_no=0,雪佛兰 科沃兹 2018款 320 自动欣享天窗版,5.98,自动
1.6L,8.31万公里,https://www.guazi.com/zhuhai/a67a7cfea5142e71x.htm#fr_page=list&fr_pos=city&fr_no=13,雪铁龙 爱丽舍 2014款 1.6L 自动时尚型,4.38,自动
1.5T,0.96万公里,https://www.guazi.com/baoding/e05c8523ba098c70x.htm#fr_page=list&fr_pos=city&fr_no=12,别克 君越 2016款 20T 精英型,15.70,自动
1.6L,7.52万公里,https://www.guazi.com/cd/b204434674da7618x.htm#fr_page=list&fr_pos=city&fr_no=11,大众POLO 2011款 1.6L 自动致酷版,5.00,自动
3.0L,13.66万公里,https://www.guazi.com/ty/729d430a9454be93x.htm#fr_page=list&fr_pos=city&fr_no=10,别克GL8 2011款 3.0L XT豪华商务旗舰版,13.20,自动
1.5T,4.87万公里,https://www.guazi.com/linyi/3e361a9d4c37240bx.htm#fr_page=list&fr_pos=city&fr_no=9,福特 翼虎 2015款 1.5L GTDi 两驱风尚型,9.50,自动
1.5T,5.19万公里,https://www.guazi.com/nantong/986b210c7d26905ax.htm#fr_page=list&fr_pos=city&fr_no=8,福特 蒙迪欧 2013款 1.5L GTDi180时尚型,10.80,自动
1.5L,6.15万公里,https://www.guazi.com/yc/be7359c50924554bx.htm#fr_page=list&fr_pos=city&fr_no=7,福特 福睿斯 2015款 1.5L 自动舒适型,5.98,自动
1.4T,8.37万公里,https://www.guazi.com/wei/5f60ca22ccc3bbe3x.htm#fr_page=list&fr_pos=city&fr_no=6,大众 2016款 途安L 280TSI 自动舒雅版,10.45,自动
1.8T,5.67万公里,https://www.guazi.com/zhuhai/2c24ede70f25af56x.htm#fr_page=list&fr_pos=city&fr_no=5,纳智捷 纳5 2015款 1.8T 自动智慧型,4.78,自动
1.6T,12.04万公里,https://www.guazi.com/km/c8095b0002881f2ax.htm#fr_page=list&fr_pos=city&fr_no=4,别克 君威 2015款 1.6T 领先技术型,8.90,自动
